Wavelength (nm),Sensitivity (A/W)
400,0.0354
401,0.03587
402,0.03635
403,0.03682
404,0.0373
405,0.03777
406,0.03825
407,0.03916
408,0.04018
409,0.04119
410,0.04221
411,0.04323
412,0.04425
413,0.04527
414,0.04629
415,0.04731
416,0.04833
417,0.04935
418,0.05037
419,0.05139
420,0.05268
421,0.054
422,0.05532
423,0.05665
424,0.05797
425,0.05929
426,0.06062
427,0.06194
428,0.06332
429,0.06485
430,0.06638
431,0.0679
432,0.06943
433,0.07096
434,0.07243
435,0.07386
436,0.07529
437,0.07672
438,0.07814
439,0.07957
440,0.081
441,0.08243
442,0.08385
443,0.08538
444,0.0869
445,0.08843
446,0.08996
447,0.09149
448,0.09301
449,0.09454
450,0.09607
451,0.09759
452,0.09912
453,0.10065
454,0.10218
455,0.1037
456,0.10523
457,0.10676
458,0.10829
459,0.10981
460,0.11134
461,0.11287
462,0.11439
463,0.11608
464,0.11779
465,0.1195
466,0.12122
467,0.12293
468,0.12464
469,0.12635
470,0.12823
471,0.13019
472,0.13214
473,0.1341
474,0.13606
475,0.13801
476,0.13997
477,0.14186
478,0.14369
479,0.14553
480,0.14736
481,0.14919
482,0.15103
483,0.15286
484,0.15469
485,0.15653
486,0.15836
487,0.16019
488,0.16203
489,0.16386
490,0.1657
491,0.16753
492,0.16937
493,0.1712
494,0.17304
495,0.17487
496,0.1767
497,0.17854
498,0.18037
499,0.18221
500,0.1839
501,0.18549
502,0.18708
503,0.18867
504,0.19026
505,0.19185
506,0.19344
507,0.19503
508,0.19662
509,0.19821
510,0.1998
511,0.20139
512,0.20298
513,0.20457
514,0.20619
515,0.20792
516,0.20965
517,0.21138
518,0.21311
519,0.21485
520,0.21658
521,0.21831
522,0.22004
523,0.22183
524,0.22367
525,0.2255
526,0.22734
527,0.22917
528,0.231
529,0.23284
530,0.23467
531,0.23651
532,0.23834
533,0.24002
534,0.2416
535,0.24317
536,0.24474
537,0.24631
538,0.24788
539,0.24945
540,0.25103
541,0.2526
542,0.25417
543,0.25592
544,0.25783
545,0.25974
546,0.26165
547,0.26356
548,0.26547
549,0.26738
550,0.26929
551,0.2712
552,0.27311
553,0.27502
554,0.27693
555,0.27888
556,0.28084
557,0.2828
558,0.28475
559,0.28671
560,0.28867
561,0.29062
562,0.29234
563,0.29402
564,0.2957
565,0.29738
566,0.29907
567,0.30075
568,0.30243
569,0.30411
570,0.30579
571,0.30748
572,0.30916
573,0.31085
574,0.31254
575,0.31424
576,0.31594
577,0.31764
578,0.31933
579,0.32103
580,0.32273
581,0.32443
582,0.32613
583,0.32782
584,0.32952
585,0.33122
586,0.33277
587,0.33418
588,0.33558
589,0.33699
590,0.33839
591,0.3398
592,0.3412
593,0.34261
594,0.34401
595,0.34542
596,0.34682
597,0.34823
598,0.34963
599,0.35104
600,0.35244
601,0.35385
602,0.35526
603,0.35666
604,0.35807
605,0.35948
606,0.36088
607,0.36229
608,0.3637
609,0.3651
610,0.36651
611,0.36791
612,0.36932
613,0.37073
614,0.37213
615,0.3733
616,0.37441
617,0.37552
618,0.37663
619,0.37775
620,0.37886
621,0.37997
622,0.38108
623,0.38219
624,0.3833
625,0.38441
626,0.38552
627,0.38663
628,0.38774
629,0.38886
630,0.38997
631,0.39119
632,0.39241
633,0.39364
634,0.39486
635,0.39608
636,0.3973
637,0.39853
638,0.39975
639,0.40097
640,0.40219
641,0.40341
642,0.40456
643,0.40565
644,0.40673
645,0.40782
646,0.40891
647,0.40999
648,0.41108
649,0.41217
650,0.41326
651,0.41434
652,0.41543
653,0.41652
654,0.4176
655,0.41885
656,0.42018
657,0.42152
658,0.42285
659,0.42418
660,0.42552
661,0.42685
662,0.42819
663,0.42952
664,0.43086
665,0.43219
666,0.43352
667,0.43486
668,0.43619
669,0.43753
670,0.43886
671,0.44028
672,0.4417
673,0.44313
674,0.44455
675,0.44598
676,0.44741
677,0.44883
678,0.45026
679,0.45168
680,0.45311
681,0.45454
682,0.45596
683,0.45739
684,0.45885
685,0.46032
686,0.46179
687,0.46325
688,0.46472
689,0.46619
690,0.46765
691,0.46912
692,0.47058
693,0.47205
694,0.47352
695,0.47498
696,0.47645
697,0.47792
698,0.4793
699,0.48064
700,0.48197
701,0.4833
702,0.48464
703,0.48597
704,0.4873
705,0.48864
706,0.48997
707,0.49131
708,0.49264
709,0.49397
710,0.49531
711,0.49664
712,0.49798
713,0.49931
714,0.50047
715,0.5016
716,0.50273
717,0.50386
718,0.50499
719,0.50612
720,0.50725
721,0.50837
722,0.5095
723,0.51063
724,0.51176
725,0.51289
726,0.51402
727,0.51515
728,0.51628
729,0.51741
730,0.51853
731,0.51966
732,0.52077
733,0.52179
734,0.52281
735,0.52383
736,0.52484
737,0.52586
738,0.52688
739,0.5279
740,0.52892
741,0.52993
742,0.53095
743,0.53197
744,0.53299
745,0.53401
746,0.53502
747,0.53604
748,0.53706
749,0.53808
750,0.53913
751,0.54019
752,0.54125
753,0.5423
754,0.54336
755,0.54442
756,0.54547
757,0.54653
758,0.54759
759,0.54864
760,0.5497
761,0.55076
762,0.55181
763,0.55287
764,0.55392
765,0.555
766,0.55616
767,0.55731
768,0.55847
769,0.55962
770,0.56077
771,0.56193
772,0.56308
773,0.56424
774,0.56539
775,0.56655
776,0.5677
777,0.56886
778,0.56989
779,0.57062
780,0.57136
781,0.57209
782,0.57282
783,0.57356
784,0.57429
785,0.57502
786,0.57576
787,0.57649
788,0.57722
789,0.57796
790,0.57869
791,0.57942
792,0.58016
793,0.58106
794,0.58198
795,0.5829
796,0.58381
797,0.58473
798,0.58565
799,0.58657
800,0.58748
801,0.58834
802,0.58909
803,0.58984
804,0.59058
805,0.59133
806,0.59208
807,0.59282
808,0.59357
809,0.59432
810,0.59507
811,0.59581
812,0.59656
813,0.59731
814,0.59799
815,0.59861
816,0.59922
817,0.59983
818,0.60044
819,0.60105
820,0.60166
821,0.60227
822,0.60288
823,0.60349
824,0.6041
825,0.60471
826,0.60533
827,0.60594
828,0.60655
829,0.60716
830,0.60777
831,0.60838
832,0.60899
833,0.6096
834,0.61022
835,0.61083
836,0.61144
837,0.61205
838,0.61266
839,0.61327
840,0.61388
841,0.6145
842,0.61511
843,0.61572
844,0.61633
845,0.61694
846,0.61755
847,0.61817
848,0.61878
849,0.61939
850,0.62
851,0.62061
852,0.62122
853,0.62183
854,0.62245
855,0.62306
856,0.62367
857,0.62428
858,0.62489
859,0.6255
860,0.62604
861,0.62652
862,0.62699
863,0.62747
864,0.62795
865,0.62842
866,0.6289
867,0.62937
868,0.62985
869,0.63032
870,0.6308
871,0.63127
872,0.63175
873,0.63223
874,0.6327
875,0.63318
876,0.63365
877,0.63413
878,0.6346
879,0.63508
880,0.63555
881,0.63603
882,0.6365
883,0.63698
884,0.63745
885,0.63793
886,0.63828
887,0.63859
888,0.63889
889,0.6392
890,0.6395
891,0.63981
892,0.64011
893,0.64042
894,0.64073
895,0.64103
896,0.64134
897,0.64163
898,0.64189
899,0.64216
900,0.64242
901,0.64268
902,0.64294
903,0.6432
904,0.64347
905,0.64373
906,0.64399
907,0.64425
908,0.64448
909,0.6447
910,0.64493
911,0.64516
912,0.64539
913,0.64562
914,0.64585
915,0.64608
916,0.64631
917,0.64654
918,0.64677
919,0.64669
920,0.64648
921,0.64628
922,0.64607
